"","X","uid","item","finalrating","recommendationId","SelectionCandidateStatus"
"2273",2273,321,125,4,8,1
"2281",2281,322,189,4,5,1
"2292",2292,324,1577,4,9,1
"2302",2302,325,1585,3,2,1
"2337",2337,334,496,2,0,1
"2359",2359,335,416,3,9,1
"2384",2384,339,1626,3,9,1
"2401",2401,343,1641,4,9,1
"2408",2408,345,1647,4,1,1
"2432",2432,347,1670,5,9,1
"2456",2456,349,1686,4,2,1
"2482",2482,352,1711,4,9,1
"2489",2489,353,1716,4,2,1
"2500",2500,355,1726,4,3,1
"2511",2511,357,469,4,0,1
"2518",2518,358,1736,4,5,1
"2527",2527,359,1744,3,2,1
"2551",2551,360,1768,3,3,1
"2558",2558,361,1775,4,6,1
"2576",2576,363,1792,4,7,1
"2585",2585,364,346,5,6,1
"2595",2595,365,1798,3,2,1
"2618",2618,369,1812,4,1,1
"2627",2627,371,1820,5,7,1
"2633",2633,372,947,3,0,1
"2647",2647,376,1836,4,3,1
"2661",2661,378,1849,4,0,1
"2689",2689,382,1869,3,2,1
"2697",2697,383,667,5,5,1
"2741",2741,392,1895,5,8,1
"2748",2748,394,1901,3,6,1
"2760",2760,396,1913,4,8,1
"2768",2768,397,1921,4,4,1
"2791",2791,400,19,4,6,1
"2804",2804,402,1946,4,2,1
"2810",2810,403,1952,5,7,1
"2816",2816,404,1958,4,5,1
"2822",2822,405,1964,3,1,1
"2833",2833,407,1073,5,5,1
"2844",2844,410,1974,5,1,1
"2867",2867,413,1997,3,7,1
"2878",2878,416,2006,4,2,1
"2884",2884,417,2012,5,5,1
"2898",2898,419,2025,5,7,1
"2907",2907,420,158,3,0,1
"2935",2935,421,2048,5,0,1
"2951",2951,422,19,5,5,1
"2984",2984,430,2069,4,3,1
"3002",3002,431,2072,4,7,1
"3018",3018,436,2086,4,3,1
"3056",3056,441,326,5,2,1
"3065",3065,442,2126,3,0,1
"3079",3079,444,14,3,2,1
"3093",3093,445,466,5,5,1
"3102",3102,447,13,4,9,1
"3119",3119,448,891,3,8,1
"3146",3146,455,416,3,9,1
"3162",3162,459,2163,4,7,1
"3179",3179,464,2178,4,7,1
"3192",3192,467,2183,3,0,1
"3200",3200,469,2190,3,2,1
"3209",3209,471,13,4,1,1
"3235",3235,472,2199,4,0,1
"3252",3252,475,13,2,1,1
"3263",3263,476,2214,4,5,1
"3274",3274,477,2224,3,1,1
"3280",3280,478,13,5,1,1
"3288",3288,479,2230,3,8,1
"3296",3296,480,2238,4,2,1
"3311",3311,483,818,5,5,1
"3340",3340,488,2266,3,9,1
"3352",3352,489,2278,5,8,1
"3365",3365,490,2289,3,3,1
"3389",3389,497,2308,5,4,1
"3397",3397,498,13,4,1,1
"3421",3421,501,2328,3,1,1
"3428",3428,503,2331,3,8,1
"3449",3449,508,2135,5,4,1
"3457",3457,509,2037,4,8,1
"3484",3484,518,2370,4,8,1
"3499",3499,519,170,4,2,1
"3514",3514,521,13,4,6,1
"3521",3521,522,13,4,1,1
"3536",3536,524,1139,4,0,1
"3544",3544,525,13,2,1,1
"3568",3568,526,13,4,1,1
"3584",3584,529,14,5,2,1
"3605",3605,534,2395,3,2,1
"3625",3625,536,2411,5,5,1
"3635",3635,539,2421,4,5,1
"3643",3643,540,2429,5,5,1
"3654",3654,542,2434,5,6,1
"3666",3666,544,2441,5,5,1
"3684",3684,548,2308,4,2,1
"3717",3717,553,2198,5,1,1
"3736",3736,556,14,4,3,1
"3760",3760,558,2493,3,0,1
"3777",3777,561,2510,5,6,1
"3788",3788,563,2521,5,6,1
"3799",3799,566,2532,4,1,1
"3817",3817,570,2543,5,5,1
"3823",3823,571,170,3,2,1
"3869",3869,573,1119,4,6,1
"3881",3881,575,2370,4,8,1
"3897",3897,578,731,3,8,1
"3912",3912,581,2584,3,8,1
"3940",3940,586,2605,2,1,1
"3950",3950,588,620,4,5,1
"3965",3965,589,2616,4,8,1
"3974",3974,590,2625,4,8,1
"3987",3987,591,1626,5,9,1
"4001",4001,594,2635,4,8,1
"4021",4021,597,326,5,5,1
"4028",4028,598,189,5,5,1
"4048",4048,600,170,3,2,1
"4066",4066,603,2652,3,7,1
"4089",4089,604,2308,5,5,1
"4098",4098,607,2669,4,6,1
"4104",4104,608,416,4,9,1
"4116",4116,609,13,4,1,1
"4131",4131,610,170,4,2,1
"4145",4145,612,416,3,9,1
"4153",4153,613,14,5,3,1
"4170",4170,615,2683,4,2,1
"4179",4179,616,326,5,5,1
"7",7,2,7,3,8,1
"8",8,2,8,5,8,1
"9",9,2,9,3,2,1
"10",10,2,10,4,1,1
"11",11,2,11,5,6,1
"13",13,3,13,4,1,1
"15",15,3,15,5,6,1
"16",16,3,16,3,7,1
"17",17,3,17,3,9,1
"18",18,3,18,3,0,1
"19",19,3,19,5,6,1
"20",20,3,6,3,2,1
"21",21,3,20,3,7,1
"22",22,3,21,3,0,1
"23",23,3,22,3,2,1
"24",24,3,23,4,4,1
"26",26,3,25,4,5,1
"28",28,3,26,2,1,1
"30",30,3,28,5,5,1
"31",31,3,29,2,0,1
"32",32,3,30,4,1,1
"33",33,3,31,5,5,1
"35",35,3,33,4,9,1
"36",36,3,34,3,7,1
"38",38,3,36,4,0,1
"39",39,3,37,4,0,1
"40",40,3,38,4,2,1
"41",41,3,39,5,3,1
"42",42,3,40,5,8,1
"44",44,3,41,4,9,1
"45",45,3,42,5,7,1
"47",47,3,44,4,0,1
"48",48,3,45,4,7,1
"49",49,3,46,4,7,1
"50",50,3,47,5,9,1
"51",51,3,48,4,0,1
"52",52,3,49,4,4,1
"54",54,3,50,3,0,1
"55",55,3,51,4,0,1
"57",57,3,53,2,0,1
"59",59,3,54,4,8,1
"61",61,3,56,4,9,1
"62",62,3,57,4,2,1
"63",63,3,58,4,2,1
"64",64,3,59,5,4,1
"65",65,3,60,4,6,1
"66",66,3,61,4,4,1
"67",67,3,10,3,1,1
"68",68,3,10,4,2,1
"69",69,3,62,3,1,1
"70",70,3,63,5,7,1
"71",71,3,64,3,6,1
"72",72,3,65,5,6,1
"73",73,3,66,5,3,1
"74",74,3,66,4,4,1
"76",76,3,68,5,7,1
"78",78,3,69,5,4,1
"79",79,3,69,5,6,1
"81",81,3,71,4,1,1
"83",83,3,73,4,5,1
"84",84,3,74,4,2,1
"85",85,3,74,4,7,1
"87",87,3,75,4,3,1
"88",88,3,75,5,4,1
"89",89,3,76,4,0,1
"90",90,3,77,4,8,1
"91",91,3,78,4,1,1
"93",93,3,80,4,7,1
"96",96,4,83,3,7,1
"97",97,4,84,4,0,1
"98",98,4,85,5,6,1
"99",99,4,86,4,1,1
"112",112,9,98,3,2,1
"113",113,9,99,4,2,1
"114",114,9,100,3,2,1
"117",117,9,103,4,4,1
"118",118,9,104,5,5,1
"119",119,9,105,5,8,1
"120",120,9,106,3,9,1
"122",122,9,108,5,1,1
"123",123,9,109,5,3,1
"125",125,9,111,5,4,1
"126",126,9,112,5,2,1
"127",127,9,112,3,3,1
"128",128,9,113,4,6,1
"129",129,9,114,3,1,1
"131",131,9,114,5,3,1
"133",133,9,114,5,5,1
"134",134,9,115,3,1,1
"135",135,9,116,4,2,1
"138",138,10,118,5,6,1
"140",140,10,120,5,5,1
"141",141,10,121,5,7,1
"142",142,10,122,4,4,1
"144",144,10,124,3,0,1
"146",146,11,125,4,8,1
"147",147,11,126,4,8,1
"148",148,11,127,3,7,1
"149",149,11,128,5,4,1
"150",150,11,129,3,1,1
"151",151,11,130,5,5,1
"158",158,13,137,4,7,1
"159",159,13,138,4,0,1
"160",160,13,139,4,2,1
"161",161,13,140,5,5,1
"162",162,13,141,4,1,1
"170",170,16,147,3,1,1
"171",171,16,148,3,0,1
"173",173,16,150,4,4,1
"175",175,16,152,5,5,1
"176",176,16,153,5,9,1
"177",177,16,154,4,2,1
"178",178,16,155,2,0,1
"179",179,16,156,4,4,1
"180",180,16,157,4,4,1
"182",182,17,13,5,1,1
"183",183,17,159,2,1,1
"185",185,17,160,4,5,1
"186",186,17,161,4,6,1
"187",187,17,162,5,8,1
"188",188,17,163,4,6,1
"192",192,18,6,5,4,1
"193",193,18,167,4,2,1
"194",194,18,10,3,1,1
"195",195,18,64,4,6,1
"196",196,18,168,4,7,1
"197",197,18,169,5,3,1
"199",199,19,19,5,6,1
"200",200,19,6,5,4,1
"201",201,19,171,5,1,1
"202",202,19,10,5,1,1
"210",210,21,179,4,6,1
"212",212,21,181,5,1,1
"213",213,21,182,5,5,1
"214",214,21,183,5,5,1
"224",224,25,191,5,3,1
"225",225,25,192,4,6,1
"226",226,25,193,5,9,1
"227",227,25,194,4,0,1
"228",228,25,195,3,0,1
"229",229,25,196,4,0,1
"230",230,25,197,5,5,1
"231",231,25,198,4,6,1
"233",233,25,200,4,8,1
"234",234,25,201,5,7,1
"236",236,25,203,4,7,1
"237",237,25,204,4,1,1
"238",238,25,205,4,3,1
"239",239,25,206,4,8,1
"240",240,25,207,3,2,1
"241",241,25,208,4,6,1
"246",246,28,213,4,0,1
"247",247,28,214,5,9,1
"248",248,28,215,2,1,1
"249",249,28,216,3,5,1
"250",250,28,217,3,0,1
"251",251,28,217,4,4,1
"252",252,28,218,2,0,1
"257",257,28,223,4,9,1
"259",259,28,224,4,8,1
"260",260,28,225,5,4,1
"264",264,28,227,4,3,1
"265",265,28,228,4,7,1
"266",266,28,229,4,7,1
"267",267,28,230,5,5,1
"268",268,28,231,4,4,1
"269",269,28,232,3,6,1
"270",270,28,233,5,2,1
"272",272,28,234,3,1,1
"273",273,28,234,5,2,1
"274",274,28,234,5,4,1
"275",275,28,235,4,2,1
"276",276,28,235,4,3,1
"277",277,28,236,4,7,1
"278",278,28,237,4,2,1
"279",279,28,238,4,3,1
"280",280,28,239,3,8,1
"281",281,28,240,5,6,1
"284",284,28,243,5,1,1
"285",285,28,244,4,9,1
"286",286,28,245,3,8,1
"287",287,28,246,5,4,1
"289",289,28,247,4,4,1
"290",290,28,247,5,5,1
"292",292,28,247,4,8,1
"293",293,28,248,4,2,1
"294",294,28,249,3,8,1
"295",295,28,250,4,7,1
"296",296,28,251,5,0,1
"297",297,28,252,4,7,1
"298",298,28,253,5,8,1
"299",299,28,254,2,0,1
"300",300,28,255,4,6,1
"301",301,28,256,5,7,1
"302",302,28,257,5,6,1
"303",303,28,258,4,6,1
"305",305,28,260,3,3,1
"306",306,28,261,3,0,1
"307",307,28,262,4,2,1
"308",308,28,263,4,7,1
"309",309,28,263,5,8,1
"310",310,28,264,4,5,1
"311",311,28,264,5,6,1
"312",312,28,265,4,4,1
"313",313,28,266,5,2,1
"314",314,28,267,4,0,1
"315",315,28,268,3,2,1
"316",316,28,269,4,6,1
"317",317,28,270,4,0,1
"318",318,28,271,3,2,1
"319",319,28,272,3,3,1
"320",320,28,273,4,5,1
"321",321,28,274,5,6,1
"322",322,28,275,4,2,1
"323",323,28,276,3,0,1
"324",324,28,277,5,6,1
"325",325,28,278,5,5,1
"327",327,28,280,4,4,1
"339",339,32,289,3,8,1
"340",340,32,290,5,6,1
"341",341,32,291,3,8,1
"342",342,32,292,5,7,1
"343",343,32,293,4,6,1
"344",344,32,294,3,2,1
"345",345,32,295,3,2,1
"346",346,32,296,4,0,1
"352",352,34,14,4,3,1
"353",353,34,302,4,8,1
"355",355,34,20,4,1,1
"356",356,34,303,4,3,1
"358",358,34,305,3,8,1
"359",359,34,41,4,9,1
"360",360,34,306,5,6,1
"361",361,34,43,4,0,1
"362",362,34,307,4,6,1
"363",363,34,308,4,6,1
"365",365,34,310,4,2,1
"366",366,34,311,3,8,1
"367",367,34,312,3,2,1
"368",368,34,10,4,1,1
"369",369,34,313,5,6,1
"370",370,34,314,5,6,1
"371",371,34,315,4,1,1
"374",374,34,318,4,9,1
"376",376,35,320,3,6,1
"377",377,35,321,4,4,1
"378",378,35,322,5,7,1
"379",379,35,323,3,2,1
"380",380,35,324,4,9,1
"381",381,35,325,4,0,1
"384",384,36,327,5,6,1
"385",385,36,328,4,9,1
"386",386,36,329,4,7,1
"387",387,36,330,5,6,1
"388",388,36,331,4,0,1
"389",389,36,331,4,1,1
"390",390,36,332,4,3,1
"391",391,36,61,4,3,1
"392",392,36,333,4,9,1
"393",393,36,64,4,6,1
"394",394,36,334,3,1,1
"396",396,36,129,5,1,1
"397",397,36,335,3,0,1
"399",399,37,304,3,9,1
"400",400,37,337,4,5,1
"401",401,37,41,4,9,1
"402",402,37,338,5,0,1
"403",403,37,339,5,5,1
"404",404,37,167,4,2,1
"405",405,37,340,5,5,1
"406",406,37,64,5,6,1
"407",407,37,64,4,8,1
"408",408,37,64,5,9,1
"410",410,37,180,4,6,1
"411",411,37,342,4,3,1
"412",412,37,343,4,2,1
"413",413,37,343,4,5,1
"414",414,37,344,4,4,1
"416",416,37,345,3,0,1
"418",418,38,346,4,6,1
"419",419,38,347,5,0,1
"420",420,38,21,4,0,1
"422",422,38,349,3,1,1
"430",430,40,356,4,7,1
"432",432,40,20,3,1,1
"433",433,40,357,5,6,1
"434",434,40,358,5,4,1
"436",436,40,359,5,0,1
"437",437,40,360,4,1,1
"438",438,40,361,3,2,1
"440",440,40,362,4,7,1
"441",441,40,8,4,0,1
"443",443,40,364,3,1,1
"444",444,40,365,5,6,1
"445",445,40,366,4,4,1
"446",446,40,366,5,7,1
"447",447,40,367,4,4,1
"448",448,40,368,3,2,1
"449",449,40,369,3,0,1
"460",460,44,380,3,1,1
"461",461,44,381,4,6,1
"462",462,44,382,4,7,1
"463",463,44,383,3,5,1
"464",464,44,384,4,0,1
"467",467,44,387,3,4,1
"477",477,48,397,5,4,1
"478",478,48,398,4,3,1
"479",479,48,398,5,8,1
"480",480,48,398,5,9,1
"481",481,48,399,5,6,1
"482",482,48,399,3,7,1
"483",483,48,400,4,5,1
"485",485,49,402,4,4,1
"486",486,49,402,5,5,1
"487",487,49,403,4,0,1
"488",488,49,404,5,2,1
"491",491,49,407,5,2,1
"492",492,49,408,4,3,1
"493",493,49,409,4,9,1
"494",494,49,410,4,9,1
"495",495,49,411,4,8,1
"501",501,52,14,4,7,1
"502",502,52,416,5,9,1
"506",506,52,420,3,1,1
"507",507,52,421,4,6,1
"508",508,52,422,4,3,1
"509",509,52,358,5,5,1
"510",510,52,423,3,0,1
"511",511,52,424,5,9,1
"512",512,52,425,4,8,1
"513",513,52,426,4,5,1
"514",514,52,427,4,1,1
"515",515,52,428,3,2,1
"516",516,52,429,3,9,1
"517",517,52,430,4,8,1
"518",518,52,338,5,3,1
"520",520,52,171,3,1,1
"521",521,52,432,5,5,1
"523",523,52,433,5,5,1
"524",524,52,434,5,6,1
"525",525,52,435,4,8,1
"526",526,52,436,4,5,1
"527",527,52,437,4,4,1
"531",531,54,441,4,7,1
"532",532,54,442,5,4,1
"533",533,54,443,3,2,1
"534",534,54,444,3,0,1
"535",535,54,445,4,3,1
"550",550,58,6,4,4,1
"551",551,58,21,4,0,1
"552",552,58,46,4,6,1
"553",553,58,10,4,1,1
"554",554,58,64,4,6,1
"561",561,60,6,4,4,1
"562",562,60,8,4,8,1
"563",563,60,167,4,2,1
"564",564,60,349,4,1,1
"565",565,60,10,4,1,1
"566",566,60,11,4,6,1
"567",567,60,168,5,7,1
"585",585,65,13,4,1,1
"586",586,65,21,3,0,1
"587",587,65,27,5,5,1
"591",591,66,167,4,2,1
"594",594,66,11,5,6,1
"595",595,66,169,4,3,1
"597",597,67,308,5,6,1
"598",598,67,167,5,2,1
"599",599,67,171,5,1,1
"603",603,67,344,3,4,1
"604",604,67,169,2,3,1
"605",605,67,181,4,1,1
"606",606,67,93,3,1,1
"607",607,67,460,3,5,1
"614",614,70,19,5,5,1
"615",615,70,6,5,4,1
"617",617,70,465,4,8,1
"618",618,70,430,4,8,1
"620",620,70,167,4,2,1
"621",621,70,10,4,1,1
"622",622,70,11,4,6,1
"623",623,70,168,5,7,1
"624",624,70,169,4,3,1
"625",625,70,130,5,5,1
"627",627,71,166,5,6,1
"628",628,71,19,5,5,1
"629",629,71,6,4,2,1
"630",630,71,6,5,4,1
"631",631,71,30,5,3,1
"632",632,71,337,5,5,1
"633",633,71,467,4,9,1
"634",634,71,167,4,2,1
"635",635,71,10,4,1,1
"636",636,71,64,4,6,1
"640",640,72,469,3,0,1
"641",641,72,6,5,4,1
"642",642,72,20,4,1,1
"643",643,72,470,5,5,1
"644",644,72,428,3,3,1
"647",647,72,171,4,1,1
"648",648,72,10,3,1,1
"649",649,72,364,4,1,1
"650",650,72,433,4,5,1
"651",651,72,313,5,5,1
"652",652,72,365,5,6,1
"653",653,72,64,5,5,1
"654",654,72,11,4,6,1
"655",655,72,93,4,2,1
"656",656,72,93,5,3,1
"663",663,74,166,5,6,1
"664",664,74,392,3,9,1
"665",665,74,6,5,4,1
"667",667,74,167,5,2,1
"668",668,74,10,4,0,1
"669",669,74,10,4,1,1
"671",671,74,64,5,6,1
"672",672,74,169,5,3,1
"674",674,75,478,5,4,1
"676",676,75,480,4,8,1
"677",677,75,481,3,9,1
"678",678,75,482,3,0,1
"679",679,75,483,3,2,1
"680",680,75,484,5,4,1
"681",681,75,485,3,9,1
"682",682,75,486,3,2,1
"683",683,75,487,4,6,1
"684",684,75,488,2,1,1
"685",685,75,489,5,5,1
"687",687,75,491,5,3,1
"688",688,75,492,4,5,1
"693",693,77,497,4,6,1
"695",695,77,433,5,6,1
"696",696,77,64,5,6,1
"697",697,77,181,4,1,1
"704",704,80,500,4,0,1
"705",705,80,501,4,2,1
"707",707,80,62,5,1,1
"708",708,80,502,5,6,1
"709",709,80,64,4,4,1
"710",710,80,64,5,6,1
"734",734,86,516,5,5,1
"736",736,86,517,5,6,1
"740",740,86,6,5,4,1
"741",741,86,519,3,7,1
"743",743,86,521,4,0,1
"744",744,86,522,2,0,1
"745",745,86,465,3,8,1
"747",747,86,523,3,2,1
"748",748,86,10,4,1,1
"749",749,86,524,3,4,1
"750",750,86,525,4,0,1
"751",751,86,526,3,6,1
"752",752,86,510,5,3,1
"775",775,98,547,4,1,1
"776",776,98,548,4,9,1
"777",777,98,549,3,0,1
"778",778,98,549,4,2,1
"779",779,98,550,4,3,1
"783",783,99,152,4,5,1
"784",784,99,553,5,5,1
"785",785,99,554,4,9,1
"786",786,99,555,4,2,1
"788",788,100,170,5,2,1
"789",789,100,556,3,8,1
"790",790,100,167,3,2,1
"791",791,100,171,5,1,1
"792",792,100,557,4,7,1
"794",794,101,30,4,3,1
"795",795,101,503,4,8,1
"796",796,101,558,5,9,1
"798",798,101,171,5,1,1
"799",799,101,10,4,1,1
"800",800,101,64,5,6,1
"801",801,101,172,5,5,1
"802",802,101,180,5,5,1
"803",803,101,93,4,2,1
"807",807,103,561,4,3,1
"808",808,103,562,5,4,1
"809",809,103,563,5,6,1
"810",810,103,564,5,1,1
"811",811,103,565,3,2,1
"812",812,103,566,4,2,1
"814",814,103,568,5,7,1
"816",816,104,570,3,8,1
"817",817,104,571,5,6,1
"818",818,104,572,4,5,1
"819",819,104,573,5,1,1
"821",821,104,575,3,5,1
"843",843,114,597,5,3,1
"844",844,114,598,3,1,1
"845",845,114,598,4,8,1
"846",846,114,599,4,0,1
"847",847,114,599,5,9,1
"848",848,114,600,5,5,1
"849",849,114,601,4,7,1
"851",851,115,603,4,1,1
"852",852,115,604,3,9,1
"853",853,115,605,5,1,1
"854",854,115,606,5,2,1
"855",855,115,607,4,4,1
"856",856,115,608,4,3,1
"858",858,116,609,3,8,1
"859",859,116,610,4,6,1
"860",860,116,611,4,7,1
"861",861,116,612,5,4,1
"862",862,116,613,3,7,1
"863",863,116,614,4,4,1
"865",865,116,616,5,2,1
"866",866,116,617,4,9,1
"867",867,116,618,3,1,1
"868",868,116,619,5,1,1
"870",870,117,416,5,9,1
"872",872,117,621,4,5,1
"873",873,117,622,3,1,1
"874",874,117,21,5,0,1
"875",875,117,27,4,6,1
"876",876,117,424,4,9,1
"877",877,117,623,3,9,1
"878",878,117,465,5,8,1
"881",881,117,8,5,0,1
"883",883,117,64,5,6,1
"884",884,117,168,4,7,1
"885",885,117,343,4,5,1
"887",887,117,343,4,8,1
"889",889,117,181,4,1,1
"890",890,117,345,4,0,1
"892",892,117,575,4,6,1
"895",895,118,627,5,8,1
"896",896,118,628,5,0,1
"897",897,118,629,5,7,1
"898",898,118,630,4,4,1
"899",899,118,631,5,6,1
"900",900,118,632,4,7,1
"901",901,118,633,5,8,1
"907",907,120,636,4,7,1
"909",909,120,637,5,9,1
"910",910,120,638,5,6,1
"911",911,120,639,3,2,1
"912",912,120,640,3,3,1
"913",913,120,640,5,5,1
"914",914,120,641,4,4,1
"918",918,122,645,5,6,1
"919",919,122,646,4,0,1
"920",920,122,647,5,5,1
"921",921,122,648,4,9,1
"922",922,122,649,4,3,1
"923",923,122,650,5,1,1
"924",924,122,651,4,2,1
"925",925,122,652,3,9,1
"931",931,124,657,4,5,1
"932",932,124,657,4,6,1
"933",933,124,657,2,9,1
"934",934,124,658,4,4,1
"935",935,124,659,4,1,1
"936",936,124,660,4,6,1
"938",938,124,662,4,1,1
"939",939,124,663,4,0,1
"940",940,124,664,4,2,1
"951",951,128,667,4,5,1
"952",952,128,668,4,8,1
"953",953,128,669,4,0,1
"955",955,128,61,4,0,1
"956",956,128,61,3,2,1
"957",957,128,671,3,8,1
"959",959,128,342,3,4,1
"960",960,128,94,5,8,1
"961",961,128,673,4,0,1
"964",964,129,167,4,2,1
"965",965,129,10,3,1,1
"967",967,129,169,3,3,1
"975",975,131,680,4,4,1
"976",976,131,681,3,0,1
"977",977,131,681,3,2,1
"978",978,131,682,5,4,1
"979",979,131,683,3,9,1
"980",980,131,684,5,9,1
"987",987,134,691,5,0,1
"988",988,134,692,3,0,1
"989",989,134,693,4,6,1
"990",990,134,694,3,3,1
"992",992,134,696,4,4,1
"1003",1003,139,704,4,7,1
"1004",1004,139,705,4,3,1
"1005",1005,139,706,3,1,1
"1006",1006,139,707,5,3,1
"1007",1007,139,708,4,8,1
"1008",1008,139,709,4,2,1
"1009",1009,139,710,3,1,1
"1011",1011,139,712,4,4,1
"1012",1012,139,713,4,5,1
"1013",1013,139,714,5,0,1
"1020",1020,141,352,4,0,1
"1022",1022,141,64,4,6,1
"1023",1023,141,169,4,3,1
"1027",1027,142,723,4,4,1
"1028",1028,142,724,4,4,1
"1030",1030,142,726,4,6,1
"1031",1031,142,727,5,2,1
"1032",1032,142,727,5,5,1
"1033",1033,142,728,4,1,1
"1034",1034,142,729,5,9,1
"1035",1035,142,730,3,9,1
"1038",1038,143,667,5,5,1
"1039",1039,143,496,3,0,1
"1040",1040,143,166,5,6,1
"1041",1041,143,6,5,4,1
"1043",1043,143,337,5,5,1
"1044",1044,143,41,3,9,1
"1045",1045,143,732,5,8,1
"1046",1046,143,733,4,6,1
"1047",1047,143,734,4,6,1
"1048",1048,143,61,4,2,1
"1050",1050,143,171,4,1,1
"1051",1051,143,10,3,1,1
"1052",1052,143,433,5,5,1
"1053",1053,143,64,4,6,1
"1055",1055,143,735,4,8,1
"1056",1056,143,468,5,6,1
"1057",1057,143,342,4,4,1
"1072",1072,147,748,4,5,1
"1073",1073,147,749,4,2,1
"1074",1074,147,749,5,3,1
"1075",1075,147,749,3,8,1
"1077",1077,147,751,4,5,1
"1078",1078,147,751,3,9,1
"1080",1080,147,752,3,9,1
"1081",1081,147,753,3,9,1
"1082",1082,147,754,5,7,1
"1083",1083,147,755,5,4,1
"1084",1084,147,756,5,5,1
"1085",1085,147,757,5,5,1
