"","X","uid","item","finalrating","recommendationId","SelectionCandidateStatus"
"55470",55470,597,12786,2,8,0
"6449",6449,28,4278,1,0,0
"14046",14046,116,2340,1,2,0
"26234",26234,265,17206,2,2,0
"4417",4417,3,125,1,9,0
"35072",35072,352,22438,1,4,0
"13838",13838,115,8938,2,8,0
"14463",14463,120,9248,1,5,0
"45402",45402,471,26817,1,7,0
"588",588,65,368,3,2,1
"16853",16853,152,10931,2,8,0
"42405",42405,430,26829,1,9,0
"31595",31595,317,20310,1,4,0
"31015",31015,314,20020,4,0,0
"3661",3661,542,2438,4,8,1
"56627",56627,607,34585,2,3,0
"34767",34767,349,22292,2,1,0
"44022",44022,447,8582,1,8,0
"10638",10638,75,483,3,1,0
"1147",1147,152,808,4,6,1
"30962",30962,314,11013,2,1,0
"10671",10671,75,6972,3,2,0
"7514",7514,34,2979,3,8,0
"45642",45642,471,2140,2,4,0
"31066",31066,314,36,1,8,0
"28545",28545,286,18469,2,1,0
"40418",40418,410,25767,2,1,0
"11173",11173,77,7365,2,1,0
"46",46,3,43,4,2,1
"50667",50667,536,31495,2,7,0
"46301",46301,479,28983,2,9,0
"47897",47897,497,30076,2,6,0
"34483",34483,345,22120,2,2,0
"39979",39979,403,25476,1,8,0
"5643",5643,16,3753,3,0,0
"8576",8576,44,5803,3,1,0
"34364",34364,345,22034,2,8,0
"19517",19517,186,5398,3,0,0
"21480",21480,208,14173,4,0,0
"2444",2444,347,1676,5,2,1
"48376",48376,501,9661,2,7,0
"37508",37508,378,3239,1,2,0
"43505",43505,442,27597,1,5,0
"36472",36472,371,23373,2,1,0
"2115",2115,305,1485,3,1,1
"43750",43750,442,13917,2,9,0
"28600",28600,286,181,3,1,0
"55451",55451,597,8319,2,4,0
"37849",37849,382,24237,2,2,0
"31164",31164,314,20077,2,0,0
"19437",19437,186,6215,2,7,0
"25777",25777,260,17025,2,2,0
"43971",43971,447,14922,2,6,0
"18992",18992,177,12480,1,4,0
"184",184,17,21,4,0,1
"56115",56115,603,34271,2,9,0
"2678",2678,378,1863,4,2,1
"25396",25396,260,16693,2,0,0
"12718",12718,99,1083,2,8,0
"31928",31928,322,3818,2,6,0
"25346",25346,260,16646,1,6,0
"45451",45451,471,304,2,9,0
"1665",1665,239,1191,5,7,1
"7342",7342,34,4958,1,6,0
"7737",7737,36,4169,1,0,0
"6490",6490,28,4307,1,4,0
"24948",24948,257,16367,1,2,0
"40419",40419,410,25768,1,7,0
"26264",26264,265,17215,3,1,0
"24024",24024,244,15697,1,5,0
"53275",53275,571,33041,2,7,0
"51104",51104,544,31807,1,6,0
"37789",37789,382,24192,3,9,0
"56603",56603,607,34562,1,4,0
"56946",56946,612,10,1,0,0
"43130",43130,436,27353,1,9,0
"27186",27186,274,8702,1,7,0
"53185",53185,571,940,1,5,0
"45201",45201,467,28462,1,9,0
"51510",51510,548,9816,2,8,0
"1991",1991,286,1402,3,9,1
"13131",13131,103,8407,2,4,0
"43973",43973,447,27761,2,7,0
"2020",2020,286,1423,4,0,1
"14850",14850,128,3825,1,1,0
"14490",14490,120,9270,2,3,0
"5343",5343,10,3516,1,5,0
"30727",30727,311,19926,2,1,0
"33110",33110,335,181,2,1,0
"1452",1452,214,1047,5,2,1
"50337",50337,529,3541,2,3,0
"18251",18251,172,11903,1,6,0
"26750",26750,268,17446,2,6,0
"1708",1708,246,1217,3,8,1
"36087",36087,365,23128,2,3,0
"6384",6384,28,216,3,2,0
"16154",16154,147,10333,2,7,0
"46298",46298,479,28983,1,4,0
"22804",22804,229,15035,3,2,0
"35809",35809,363,22961,2,8,0
"40057",40057,405,25540,4,0,0
"14167",14167,117,9128,1,8,0
"39970",39970,403,25470,2,8,0
"49993",49993,524,31203,1,7,0
"53189",53189,571,33003,2,7,0
"3727",3727,553,349,3,1,1
"39424",39424,397,25131,2,0,0
"24743",24743,256,5487,2,9,0
"28352",28352,286,18352,2,4,0
"37278",37278,378,23843,1,9,0
"36997",36997,376,23664,3,7,0
"6910",6910,28,4626,1,4,0
"1849",1849,262,1326,5,7,1
"46379",46379,479,29045,3,9,0
"9302",9302,52,6266,1,8,0
"16663",16663,151,10750,1,7,0
"1639",1639,236,1176,5,3,1
"1638",1638,236,501,3,2,1
"3915",3915,581,2586,4,7,1
"23291",23291,235,8,1,1,0
"1461",1461,215,142,5,5,1
"42329",42329,430,620,1,5,0
"19136",19136,179,2956,2,6,0
"3824",3824,571,2549,4,9,1
"7761",7761,37,5215,2,7,0
"10322",10322,72,5054,1,6,0
"45517",45517,471,5720,2,2,0
"49857",49857,522,31197,2,7,0
"18898",18898,177,12411,1,2,0
"25542",25542,260,16824,2,5,0
"36342",36342,369,19006,1,2,0
"16613",16613,151,10711,1,3,0
"37238",37238,378,23815,2,5,0
"45503",45503,471,2071,1,0,0
"13216",13216,103,8473,2,2,0
"6465",6465,28,4290,3,7,0
"19776",19776,186,4810,2,3,0
"8545",8545,44,5778,1,6,0
"37120",37120,378,23741,4,1,0
"33000",33000,335,21174,3,9,0
"39960",39960,402,25460,2,9,0
"25092",25092,259,16441,1,5,0
"51601",51601,548,32121,1,5,0
"7426",7426,34,5000,1,5,0
"19859",19859,186,13005,2,4,0
"3972",3972,589,2623,4,2,1
"53270",53270,571,15196,1,0,0
"53251",53251,571,33033,2,9,0
"24851",24851,256,16298,3,0,0
"19629",19629,186,2921,2,6,0
"55846",55846,600,34199,1,6,0
"47376",47376,490,29694,2,8,0
"23077",23077,235,5136,2,1,0
"42308",42308,430,14,1,3,0
"15065",15065,134,9635,2,4,0
"5224",5224,9,3427,1,6,0
"6493",6493,28,4310,1,6,0
"35865",35865,363,22997,1,6,0
"7233",7233,32,4885,2,6,0
"30489",30489,307,19803,1,8,0
"51580",51580,548,32108,2,4,0
"41485",41485,421,26407,1,4,0
"10033",10033,67,359,3,0,0
"35361",35361,359,22632,1,6,0
"56952",56952,612,5409,1,7,0
"22516",22516,226,14862,2,0,0
"35823",35823,363,22970,3,9,0
"22454",22454,226,14803,2,6,0
"55290",55290,594,3913,3,8,0
"10721",10721,75,7015,4,1,0
"36037",36037,364,2822,2,2,0
"51512",51512,548,32062,2,2,0
"20874",20874,201,13694,3,3,0
"46154",46154,478,424,2,9,0
"30839",30839,311,3344,1,2,0
"51895",51895,553,304,2,7,0
"44758",44758,459,3703,2,2,0
"55485",55485,597,733,1,6,0
"37387",37387,378,23929,4,0,0
"26766",26766,268,8,1,2,0
"26741",26741,268,17440,1,6,0
"43847",43847,444,181,3,0,0
"8088",8088,40,3037,2,2,0
"23487",23487,236,428,1,2,0
"37675",37675,378,24122,2,7,0
"1615",1615,235,433,5,7,1
"37733",37733,382,24157,1,3,0
"49765",49765,521,300,3,1,0
"3295",3295,479,2237,4,2,1
"46684",46684,483,6225,2,6,0
"8568",8568,44,5795,3,0,0
"5360",5360,10,120,1,6,0
"40302",40302,410,25668,1,2,0
"53375",53375,571,33085,1,6,0
"17625",17625,164,838,2,6,0
"18313",18313,172,11944,1,4,0
"50675",50675,536,31500,2,8,0
"37117",37117,378,23738,2,7,0
"18242",18242,171,11894,2,9,0
"56154",56154,603,34292,2,0,0
"47356",47356,489,29680,1,5,0
"56974",56974,612,2140,1,4,0
"50270",50270,529,1324,1,9,0
"30795",30795,311,6711,2,0,0
"10123",10123,67,342,1,3,0
"16320",16320,148,10464,4,0,0
"27136",27136,272,17692,1,9,0
"50298",50298,529,349,2,0,0
"39359",39359,397,25077,1,1,0
"7428",7428,34,5002,2,7,0
"28237",28237,286,2850,1,5,0
"35240",35240,357,1523,2,6,0
"23573",23573,236,12984,2,1,0
"1434",1434,208,1036,3,9,1
"25587",25587,260,16861,3,1,0
"39757",39757,400,308,2,6,0
"26251",26251,265,1559,2,7,0
"21915",21915,216,14463,2,5,0
"51604",51604,548,32123,1,0,0
"7685",7685,36,5180,3,2,0
"7664",7664,36,5161,3,9,0
"30314",30314,306,19647,1,0,0
"1510",1510,222,1094,4,3,1
"1390",1390,197,1002,5,1,1
"41196",41196,420,3892,1,8,0
"15761",15761,143,1345,1,6,0
"16075",16075,147,10259,1,6,0
"16272",16272,148,10426,1,1,0
"44747",44747,459,3683,2,8,0
"26870",26870,269,17531,3,9,0
"33994",33994,343,21740,2,3,0
"47939",47939,497,30099,1,1,0
"20835",20835,201,13677,2,5,0
"26653",26653,268,15212,1,3,0
"50850",50850,539,31638,2,4,0
"11210",11210,77,2932,2,2,0
"40246",40246,410,25619,2,8,0
"24914",24914,257,16339,3,1,0
"56198",56198,603,2658,1,2,0
"47089",47089,488,29482,2,1,0
"22641",22641,227,3677,1,5,0
"57015",57015,613,28860,2,8,0
"18773",18773,176,12299,1,8,0
"14483",14483,120,9264,1,5,0
"395",395,36,180,5,6,1
"36723",36723,372,5056,1,5,0
"28613",28613,286,5079,1,6,0
"19660",19660,186,12892,2,4,0
"15306",15306,139,9757,1,6,0
"16019",16019,147,10218,2,4,0
"16153",16153,147,4627,2,9,0
"6846",6846,28,4576,2,1,0
"44067",44067,448,9368,1,7,0
"14506",14506,120,9283,1,9,0
"50121",50121,526,31193,4,1,0
"1010",1010,139,711,3,2,1
"6686",6686,28,4458,3,0,0
"36982",36982,376,23650,2,8,0
"34214",34214,345,21911,2,6,0
"13956",13956,115,9026,3,2,0
"3320",3320,483,364,4,1,1
"1834",1834,260,1318,5,1,1
"31927",31927,322,4955,2,3,0
"40898",40898,416,26103,2,8,0
"51894",51894,553,304,2,6,0
"25753",25753,260,17002,2,8,0
"56120",56120,603,8356,2,4,0
"35644",35644,361,22844,2,7,0
"24760",24760,256,16241,1,4,0
"22485",22485,226,14834,3,0,0
"25145",25145,259,16480,3,2,0
"43521",43521,442,27611,4,0,0
"37304",37304,378,23861,2,6,0
"51986",51986,553,6678,1,7,0
"24905",24905,256,1269,3,5,0
"12853",12853,100,345,2,0,0
"6565",6565,28,4368,2,7,0
"56937",56937,612,3809,3,9,0
"52941",52941,566,32915,2,4,0
"16697",16697,151,10783,2,4,0
"37436",37436,378,23961,3,8,0
"45516",45516,471,12884,3,1,0
"16753",16753,151,10836,1,5,0
"35936",35936,363,23055,2,0,0
"39974",39974,403,25472,2,9,0
"7402",7402,34,4990,1,7,0
"13152",13152,103,8421,2,8,0
"35906",35906,363,23032,2,3,0
"6531",6531,28,227,2,9,0
"39320",39320,396,25043,1,3,0
"52905",52905,566,32904,2,1,0
"24845",24845,256,16293,2,4,0
"56563",56563,607,34530,3,1,0
"7292",7292,32,4944,1,2,0
"26285",26285,265,8,1,7,0
"5715",5715,17,41,2,5,0
"10117",10117,67,5069,2,8,0
"56237",56237,603,34336,2,3,0
"21519",21519,209,347,1,0,0
"7183",7183,32,4838,3,9,0
"56144",56144,603,34283,2,6,0
"55692",55692,598,496,3,0,0
"7416",7416,34,4993,2,7,0
"46268",46268,479,28960,1,6,0
"54900",54900,588,33944,2,3,0
"35465",35465,359,22699,2,3,0
"24693",24693,256,16191,1,6,0
"8550",8550,44,5781,2,7,0
"8606",8606,44,5827,1,7,0
"21807",21807,215,14401,2,4,0
"7823",7823,37,5256,1,2,0
"57008",57008,613,6713,1,8,0
"35469",35469,359,22703,1,4,0
"37071",37071,378,23707,2,8,0
"16030",16030,147,10223,1,4,0
"1727",1727,247,1232,4,3,1
"7714",7714,36,2988,2,3,0
"25369",25369,260,16669,1,8,0
"16557",16557,151,10667,1,3,0
"42431",42431,430,8,2,0,0
"24780",24780,256,16256,2,2,0
"37638",37638,378,24095,2,1,0
"54264",54264,578,5053,3,2,0
"30279",30279,305,19619,1,4,0
"3494",3494,518,168,5,7,1
"19366",19366,184,12695,2,7,0
"48132",48132,498,5208,2,4,0
"22606",22606,227,14923,2,3,0
"12693",12693,99,3755,2,3,0
"45758",45758,472,28702,1,6,0
"22723",22723,227,8633,1,4,0
"6347",6347,28,4211,1,0,0
"30533",30533,307,19844,2,2,0
"20890",20890,201,13705,1,2,0
"13189",13189,103,8453,1,1,0
"53221",53221,571,2485,3,0,0
"28484",28484,286,18433,2,3,0
"6668",6668,28,4445,1,7,0
"30943",30943,314,178,1,3,0
"47231",47231,488,29576,1,5,0
"37448",37448,378,23966,1,4,0
"16598",16598,151,10697,2,3,0
"11152",11152,77,7358,2,9,0
"4557",4557,3,2956,1,5,0
"13109",13109,103,8387,3,9,0
"28378",28378,286,18370,1,7,0
"1860",1860,265,21,3,0,1
"23333",23333,235,15277,2,5,0
"18375",18375,172,11994,2,2,0
"22743",22743,227,1323,2,2,0
"23121",23121,235,15182,1,3,0
"24727",24727,256,16215,1,6,0
"39075",39075,394,24862,2,2,0
"3981",3981,590,497,5,6,1
"372",372,34,316,4,3,1
"15723",15723,143,61,2,0,0
"31898",31898,322,2751,3,2,0
"45611",45611,471,368,1,2,0
"54567",54567,581,33726,3,1,0
"6791",6791,28,4543,1,8,0
"9978",9978,66,8,2,8,0
"39035",39035,394,24839,2,5,0
"4716",4716,3,3041,1,5,0
"43910",43910,445,18129,2,8,0
"47891",47891,497,30072,2,0,0
"55009",55009,591,1626,3,0,0
"43890",43890,445,2975,2,3,0
"56204",56204,603,30069,2,4,0
"46392",46392,479,29054,2,0,0
"14447",14447,120,9237,1,5,0
"36658",36658,372,302,3,8,0
"47074",47074,488,29473,2,8,0
"235",235,25,202,4,1,1
"52173",52173,556,32389,2,7,0
"2920",2920,420,2039,4,5,1
"40282",40282,410,25651,1,4,0
"18710",18710,176,12244,1,6,0
"18871",18871,177,12387,2,8,0
"16527",16527,151,10643,2,9,0
"50970",50970,542,31701,2,2,0
"16818",16818,151,10899,2,8,0
"53499",53499,573,33149,2,6,0
"26558",26558,268,17333,2,0,0
"44085",44085,448,22431,2,6,0
"30787",30787,311,434,1,3,0
"40267",40267,410,25638,2,4,0
"20821",20821,201,1083,2,9,0
"7815",7815,37,5251,2,7,0
"5289",5289,9,3471,2,0,0
"23183",23183,235,15213,2,2,0
"43517",43517,442,27608,1,9,0
"4492",4492,3,2906,2,6,0
"7772",7772,37,3788,2,1,0
"18403",18403,172,12018,2,8,0
"30302",30302,305,19636,2,9,0
"6336",6336,28,4201,3,2,0
"36469",36469,371,23372,3,1,0
"26134",26134,265,17177,1,3,0
"55754",55754,598,34173,2,2,0
"4796",4796,4,3094,2,3,0
"47154",47154,488,29521,2,0,0
"17714",17714,164,11562,1,3,0
"10212",10212,71,470,1,5,0
"3108",3108,447,2137,5,4,1
"7814",7814,37,4955,2,5,0
"54578",54578,581,33736,1,3,0
"28263",28263,286,18307,1,3,0
"43528",43528,442,27617,2,9,0
"20547",20547,197,13490,1,6,0
"41514",41514,421,26418,2,2,0
"54933",54933,589,33951,3,2,0
"60",60,3,55,3,9,1
"52223",52223,556,32402,2,6,0
"26229",26229,265,17203,1,3,0
"13223",13223,103,8478,1,4,0
"1927",1927,272,1368,5,7,1
"54589",54589,581,33742,1,3,0
"16706",16706,151,10791,1,4,0
"49842",49842,522,31196,2,4,0
"19600",19600,186,5233,2,5,0
"56722",56722,609,2929,2,9,0
"41517",41517,421,26420,1,3,0
"25652",25652,260,16916,2,8,0
"40893",40893,416,3771,2,9,0
"54922",54922,589,33946,2,5,0
"4227",4227,2,2728,3,9,0
"56730",56730,609,26836,1,2,0
"56686",56686,609,981,3,1,0
"6105",6105,25,4047,2,5,0
"21848",21848,216,14421,2,3,0
"9294",9294,52,5083,2,0,0
"16157",16157,147,10335,1,5,0
"47334",47334,489,29658,2,7,0
"11945",11945,86,7696,2,7,0
"5734",5734,18,2751,2,2,0
"24757",24757,256,16238,2,5,0
"14121",14121,116,9117,1,6,0
"54533",54533,581,33698,2,4,0
"37536",37536,378,24028,2,9,0
"44986",44986,464,6718,2,6,0
"47346",47346,489,29670,1,5,0
"4446",4446,3,2883,1,7,0
"12591",12591,98,3188,2,4,0
"34924",34924,352,9369,1,0,0
"34623",34623,347,22209,3,3,0
"38768",38768,392,415,1,7,0
"39784",39784,400,504,2,6,0
"24834",24834,256,16286,2,9,0
"52936",52936,566,32912,2,2,0
"4336",4336,3,2815,2,4,0
"23775",23775,242,15518,1,4,0
"43599",43599,442,12700,1,7,0
"31549",31549,317,20272,3,2,0
"31162",31162,314,5042,1,2,0
"40470",40470,410,25814,3,9,0
"25213",25213,259,16530,1,5,0
"22438",22438,226,14789,1,5,0
"31509",31509,317,4355,1,3,0
"7651",7651,36,5153,1,8,0
"36110",36110,365,23149,1,5,0
"21539",21539,209,3818,1,6,0
"45755",45755,472,28699,2,7,0
"27105",27105,272,3913,1,5,0
"13949",13949,115,9019,3,1,0
"43862",43862,444,3541,2,3,0
"50029",50029,525,31227,3,2,0
"34591",34591,347,22190,3,8,0
"28283",28283,286,18321,1,5,0
"51594",51594,548,32117,2,1,0
"2390",2390,339,1632,5,3,1
"40281",40281,410,25650,1,6,0
"45440",45440,471,21167,2,1,0
"39330",39330,396,25051,2,9,0
"25616",25616,260,16882,1,6,0
"51696",51696,548,21299,2,5,0
"6045",6045,25,3996,1,5,0
"25884",25884,262,8,2,0,0
"33099",33099,335,1532,2,6,0
"40712",40712,413,25997,1,3,0
"24888",24888,256,16321,2,4,0
"9273",9273,52,2967,1,4,0
"51727",51727,548,13627,1,3,0
"47176",47176,488,29534,2,6,0
"23666",23666,239,5228,2,8,0
"21805",21805,215,8568,2,9,0
"7430",7430,34,5004,2,3,0
"39003",39003,394,24819,1,0,0
"3435",3435,503,2334,4,0,1
"4166",4166,613,168,4,7,1
"34013",34013,343,21753,2,8,0
"40017",40017,404,25508,2,1,0
"22713",22713,227,14130,3,3,0
"47057",47057,488,29459,3,1,0
"36130",36130,365,23164,3,1,0
"41375",41375,421,26350,1,7,0
"7512",7512,34,432,1,3,0
"4538",4538,3,2940,2,8,0
"51626",51626,548,32141,1,5,0
"19475",19475,186,9731,1,5,0
"30274",30274,305,19615,1,3,0
"136",136,9,116,3,3,1
"30721",30721,311,430,1,4,0
"3312",3312,483,347,3,0,1
"1026",1026,142,722,3,0,1
"13865",13865,115,8961,1,2,0
"12728",12728,99,5936,1,1,0
"52398",52398,558,32490,1,6,0
"47075",47075,488,29474,2,8,0
"40402",40402,410,25755,2,3,0
"43672",43672,442,27701,1,4,0
"48158",48158,498,1327,3,2,0
"19166",19166,179,12563,1,2,0
"50045",50045,525,300,2,9,0
"43219",43219,436,27420,3,1,0
"5350",5350,10,3521,1,2,0
"16133",16133,147,10313,1,3,0
"2181",2181,311,61,4,3,1
"53338",53338,571,33071,1,8,0
"53474",53474,573,9056,2,8,0
"5793",5793,19,504,2,6,0
"32085",32085,324,20657,1,2,0
"4022",4022,597,416,5,9,1
"37225",37225,378,23806,3,9,0
"39091",39091,394,15126,1,0,0
"4102",4102,607,2673,5,4,1
"45737",45737,472,2203,2,0,0
"48014",48014,498,1528,3,1,0
"47915",47915,497,20211,1,4,0
"14025",14025,116,9074,1,1,0
"4679",4679,3,345,2,0,0
"22734",22734,227,14975,1,2,0
"11193",11193,77,7372,1,3,0
"51521",51521,548,32065,1,8,0
"52369",52369,558,3880,2,5,0
"16866",16866,152,10943,1,3,0
"37480",37480,378,23991,1,8,0
"1871",1871,265,345,4,0,1
"4617",4617,3,2983,2,0,0
"19530",19530,186,2855,2,1,0
"34186",34186,343,21897,2,1,0
"55264",55264,594,34047,3,9,0
"1612",1612,235,61,5,2,1
"35953",35953,363,23067,3,3,0
"24059",24059,244,15725,3,8,0
"13914",13914,115,8993,4,1,0
"25575",25575,260,16851,1,6,0
"25180",25180,259,16505,1,5,0
"51581",51581,548,2012,2,1,0
"43875",43875,445,2838,2,2,0
"3690",3690,548,2461,4,4,1
"2131",2131,307,1499,3,8,1
"56171",56171,603,34304,3,1,0
"23143",23143,235,15195,2,8,0
"16053",16053,147,10240,1,5,0
"46307",46307,479,28987,2,1,0
"37399",37399,378,23938,1,7,0
"10030",10030,67,6693,2,2,0
"39032",39032,394,24836,2,9,0
"33069",33069,335,21183,2,0,0
"10729",10729,75,7017,2,8,0
"20888",20888,201,13703,3,8,0
"3500",3500,519,19,5,6,1
"45246",45246,469,28497,2,8,0
"1087",1087,147,759,4,3,1
"53206",53206,571,33011,2,3,0
"6979",6979,28,4675,2,8,0
"14819",14819,128,430,3,9,0
"55310",55310,594,437,1,4,0
"37207",37207,378,23802,2,6,0
"25430",25430,260,16726,3,0,0
"263",263,28,226,4,7,1
"43155",43155,436,27368,2,8,0
"47035",47035,488,29445,2,4,0
"5339",5339,10,3513,1,4,0
"4626",4626,3,2990,2,0,0
"24035",24035,244,15705,2,9,0
"6062",6062,25,4010,1,8,0
"14187",14187,117,9132,3,9,0
"1234",1234,171,873,5,3,1
"37865",37865,382,24250,1,6,0
"1285",1285,179,916,3,1,1
"31008",31008,314,5391,2,4,0
"23310",23310,235,15270,2,7,0
"43546",43546,442,27627,1,9,0
"1863",1863,265,1333,4,0,1
"40444",40444,410,25789,1,6,0
"34083",34083,343,21818,1,6,0
"53252",53252,571,424,3,9,0
"20804",20804,201,13668,2,0,0
"36654",36654,372,3787,3,8,0
"19800",19800,186,5413,1,5,0
"9263",9263,52,6255,1,2,0
"45584",45584,471,3818,1,6,0
"16066",16066,147,10251,2,4,0
"6637",6637,28,4421,2,9,0
"34406",34406,345,22067,2,7,0
"53266",53266,571,19924,1,6,0
"19651",19651,186,12884,3,0,0
"41442",41442,421,11581,2,3,0
"4087",4087,603,1632,4,3,1
"31532",31532,317,20262,1,4,0
"37564",37564,378,24047,2,2,0
"24836",24836,256,16288,2,5,0
"35151",35151,355,22493,1,1,0
"1792",1792,258,20,5,1,1
"1688",1688,243,11,5,6,1
"37873",37873,382,24256,3,1,0
"6887",6887,28,2114,1,6,0
"19710",19710,186,12930,1,3,0
"10776",10776,75,7044,1,4,0
"16905",16905,152,10974,1,5,0
"10307",10307,72,2835,2,9,0
"35494",35494,360,22724,2,9,0
"4641",4641,3,2320,3,9,0
"36321",36321,369,23263,2,2,0
"3032",3032,436,2099,5,5,1
"25624",25624,260,16890,2,7,0
"549",549,58,166,4,6,1
"37091",37091,378,23722,3,2,0
"1872",1872,265,350,3,3,1
"49626",49626,519,3059,4,9,0
"7746",7746,36,5205,2,4,0
"56172",56172,603,34305,1,8,0
"38772",38772,392,24659,3,1,0
"11170",11170,77,7363,1,3,0
"28590",28590,286,18500,2,3,0
"40262",40262,410,25633,1,7,0
"4670",4670,3,3010,1,7,0
"1355",1355,187,973,5,9,1
"56963",56963,612,3343,2,1,0
"3546",3546,525,2376,3,8,1
"16086",16086,147,10269,1,6,0
"13177",13177,103,8442,1,5,0
"6844",6844,28,4574,2,6,0
"27119",27119,272,17685,2,7,0
"31224",31224,314,8,2,4,0
"53283",53283,571,33044,2,6,0
"24702",24702,256,16198,2,3,0
"56176",56176,603,34309,2,7,0
"36120",36120,365,23154,2,9,0
"41644",41644,422,26465,1,3,0
"6059",6059,25,4008,2,1,0
"30828",30828,311,3832,2,1,0
"6335",6335,28,4200,1,5,0
"28381",28381,286,18373,2,1,0
"41529",41529,421,26425,2,3,0
"24863",24863,256,16305,1,4,0
"37620",37620,378,24082,1,8,0
"53215",53215,571,15156,2,1,0
"30790",30790,311,2990,1,4,0
"47041",47041,488,29449,2,8,0
"35831",35831,363,13856,2,1,0
"28348",28348,286,2921,1,0,0
"40939",40939,416,8275,2,7,0
"45721",45721,472,28681,1,5,0
"19719",19719,186,12934,3,9,0
"43979",43979,447,24841,2,8,0
"53726",53726,575,33255,2,7,0
"25597",25597,260,16866,1,9,0
"47919",47919,497,1685,1,7,0
"5503",5503,13,3640,2,5,0
"37168",37168,378,23772,3,3,0
"39497",39497,397,25196,1,5,0
"34947",34947,352,645,1,6,0
"2114",2114,305,1484,4,8,1
"45196",45196,467,28458,1,6,0
"10024",10024,67,337,3,0,0
"6515",6515,28,4329,1,2,0
"40869",40869,416,3765,2,7,0
"12825",12825,100,300,1,0,0
"4059",4059,600,364,2,1,1
"33038",33038,335,364,1,1,0
"19760",19760,186,12959,1,2,0
"32043",32043,324,20625,2,8,0
"3358",3358,489,2282,4,4,1
"439",439,40,307,5,6,1
"7507",7507,34,5063,1,5,0
"40474",40474,410,25818,1,8,0
"31027",31027,314,20030,2,9,0
"56759",56759,609,63,1,6,0
"23900",23900,242,15602,2,6,0
"8075",8075,40,5411,1,6,0
"2588",2588,364,167,3,2,1
"43046",43046,436,27292,2,4,0
"45629",45629,471,94,1,5,0
"489",489,49,405,5,1,1
"53279",53279,571,15203,1,7,0
"2519",2519,358,1737,4,6,1
"40958",40958,416,7495,2,9,0
"16815",16815,151,10896,2,7,0
"43960",43960,447,18068,1,7,0
"21874",21874,216,14440,1,6,0
"19907",19907,187,13029,1,4,0
"4161",4161,613,167,4,2,1
"19771",19771,186,12966,1,2,0
"43700",43700,442,5996,1,7,0
"36062",36062,364,46,2,7,0
"56355",56355,604,2667,2,2,0
"40463",40463,410,25807,1,7,0
"7548",7548,34,317,1,4,0
"12736",12736,99,8240,4,0,0
"22413",22413,226,14767,1,0,0
